Tahun,Bulan,Cianjur_Kepala,Cianjur_Slyp,Setra,Saigon,Muncul_I,Muncul_II,Muncul_III,IR64I,IR64II,IR64III,IR42,Ketan_Putih_Biasa,Ketan_Putih_Pasir,Ketan_Hitam
2015,Jan_15,12558.06452,11291.93548,11267.74194,10100,10041.93548,9083.870968,8600,9462.903226,8809.677419,8219.354839,10200,12500,14951.6129,15470.96774
2015,Feb_15,13121.42857,11800,12121.42857,10975,11089.28571,10187.5,9617.857143,10310.71429,9667.857143,9162.5,10983.92857,12500,14282.14286,15107.14286
2015,Mar_15,13500,12200,12687.09677,11677.41935,11629.03226,11129.03226,10196.77419,9854.83871,8830.645161,8125.806452,11606.45161,12448.3871,13577.41935,14516.12903
2015,Apr_15,13500,12173.33333,11975,11010,10040,9320,8533.333333,9076.666667,8140,7463.333333,10603.33333,11726.66667,13060,13933.33333
2015,Mei_15,13487.09677,11890.32258,11695.16129,10451.6129,9754.83871,8864.516129,8211.290323,9154.83871,8319.354839,7624.193548,9767.741935,11241.93548,13129.03226,13435.48387
2015,Jun_15,13400,11900,11393.33333,10400,9600,8800,8253.333333,9466.666667,8680,8090,9100,12813.33333,14760,13506.66667
2015,Jul_15,13400,12000,11500,10583.33333,9600,8716.666667,8216.666667,9516.666667,8620,8100,9190,13000,15071.66667,13186.66667
2015,Agt_15,13361.29032,12000,12032.25806,10948.3871,9870.967742,9003.225806,8600,9767.741935,9106.451613,8558.064516,9522.580645,13225.80645,16345.16129,13290.32258
2015,Sept_15,13400,12200,12906.66667,11000,10113.33333,9453.333333,8945,9943.333333,9516.666667,8996.666667,9593.333333,13500,17000,13500
2015,Oct_15,13341.93548,12141.93548,12891.93548,10935.48387,10361.29032,9661.290323,9025.806452,9758.064516,9204.83871,8808.064516,9500,13322.58065,16912.90323,13500
2015,Nov_15,13106.66667,12000,12580,10800,10466.66667,9700,9173.333333,9823.333333,9236.666667,8806.666667,9833.333333,13766.66667,18343.33333,15733.33333
2015,Dec_15,13109.67742,11974.19355,12390.32258,10800,10587.09677,9725.806452,9090.322581,9933.870968,9224.193548,8722.580645,10025.80645,14419.35484,19806.45161,16290.32258
2016,jan_16,13341.93548,12329.03226,12435.48387,11209.67742,10990.32258,9990.322581,9206.451613,10158.06452,9470.967742,8641.935484,10570.96774,15209.67742,20419.35484,16306.45161
2016,feb_16,13465.51724,12272.41379,12365.51724,11362.06897,10972.41379,9937.931034,9065.517241,10036.2069,9070.689655,8160.344828,10465.51724,15500,20931.03448,16844.82759
2016,mar_16,13435.48387,12270.96774,12370.96774,11300,10883.87097,9729.032258,8929.032258,10198.3871,9195.16129,8372.580645,10680.64516,15429.03226,20096.77419,18903.22581
2016,apr_16,13373.33333,12273.33333,12500,11236.66667,10723.33333,9650,8646.666667,9926.666667,8696.666667,7976.666667,11126.66667,15110,18683.33333,20633.33333
2016,Mei_16,13280.64516,12245.16129,12529.03226,11012.90323,10670.96774,9700,8600,9864.516129,8808.064516,8193.548387,11200,13935.48387,18935.48387,21000
2016,Jun_16,13300,12300,12600,11000,10600,9700,8600,9623.333333,8560,7860,11140,14000,20000,21000
2016,Jul_16,13229.03226,12229.03226,12532.25806,11000,10635.48387,9758.064516,8648.387097,9896.774194,8550,7809.677419,11000,14000,19548.3871,20548.3871
2016,Agt_16,13045.16129,12148.3871,12338.70968,10870.96774,10719.35484,9900,8877.419355,9961.290323,8316.129032,7288.709677,10916.12903,12145.16129,18629.03226,23354.83871
2016,Sept_16,13240,12340,12100,10800,10843.33333,9900,8900,10016.66667,8596.666667,7486.666667,10800,9733.333333,17400,25866.66667
2016,Oct_16,13419.35484,12474.19355,12077.41935,10822.58065,10751.6129,9877.419355,8854.83871,10000,8916.129032,8067.741935,10845.16129,9500,16741.93548,24048.3871
2016,Nov_16,13343.33333,12300,12000,10933.33333,10490,9663.566667,8893.333333,9953.333333,8956.666667,8233.333333,11000,9133.333333,15000,22783.33333
2016,Dec_16,13435.48387,12345.16129,12058.06452,11245.16129,10461.29032,9700,8941.935484,10025.80645,9025.806452,8251.612903,11000,9064.516129,15483.87097,22838.70968
2017,jan_17,13593.54839,12350,12100,11500,10400,9677.419355,8900,10138.70968,9067.741935,8140.322581,10680.64516,9500,16000,24193.54839
2017,feb_17,13542.85714,12264.28571,12042.85714,11500,10385.71429,9600,8900,10030.35714,8937.5,7985.714286,10857.14286,9500,16000,24142.85714
2017,mar_17,13500,12200,11651.6129,11532.25806,10200,9600,8900,9777.419355,8729.032258,7720.967742,10648.3871,9448.387097,15535.48387,23419.35484
2017,apr_17,13366.66667,12066.66667,12000,11500,9763.333333,9443.333333,8833.333333,10050,8970,7970,10600,10516.66667,16966.66667,22416.66667
2017,mei_17,13441.93548,12135.48387,12000,11500,10000,9400,8800,10148.3871,9106.451613,8241.935484,10554.83871,11435.48387,18290.32258,21419.35484
2017,juni_17,13500,12300,12000,11500,10000,9400,8800,10200,9000,8160,10000,16250,19000,21000
2017,juli_17,13620.64516,13620.64516,12363.22581,12113.54839,11587.16129,10011.32258,9226.322581,8571.870968,10137.09677,9004.516129,8143.096774,9622.580645,14025.90323,18180.03226
2017,agus_17,13949.67742,12469.35484,12715.48387,11779.77419,10046.35484,9226.935484,8457.096774,10126.45161,9267.387097,8456.032258,9870.16129,15956.45161,17624.09677,18282.25806
2017,sep_17,14000,12754.16667,13029.16667,11684.16667,10459.16667,9721.666667,9050.833333,10294.66667,9647.5,9000.833333,10357.5,17790.83333,18920,17597.5
2017,okt_17,13868.54839,12513.70968,12772.58065,11323.3871,10703.06452,10083.54839,9233.870968,10413.70968,9729.032258,8787.903226,10518.06452,18336.45161,19118.3871,16820.32258
2017,nov_17,13266.66667,12214.16667,12352.5,11305.83333,10915.83333,10155,9508.333333,10653.33333,9920,7855.833333,10471.66667,18562.5,19285.83333,15795
2017,des_17,13325,12306.25,12300,11356.25,10925,10237.5,9606.25,10700,9962.5,7800,10862.5,19406.25,20750,16050
